Event No.; Task; Date; Account Name; Account Domain; Logon ID; Logon Type; Workstation Name; Logon Address; Logon Process
2909;Logon;2017-03-27T16:35:46.681;aduser01;OHMYAD;0x210ada;Network;;192.168.20.151;Kerberos
2910;Logon;2017-03-27T16:35:46.774;aduser01;OHMYAD;0x210aea;Network;;192.168.20.151;Kerberos
2911;Logon;2017-03-27T16:35:46.790;aduser01;OHMYAD;0x210af9;Network;;192.168.20.151;Kerberos
2912;Logoff;2017-03-27T16:35:46.790;aduser01;OHMYAD;0x210aea;Network;;;
2914;Logoff;2017-03-27T16:35:47.289;aduser01;OHMYAD;0x210ada;Network;;;
2916;Logoff;2017-03-27T16:36:16.165;aduser01;OHMYAD;0x210920;Network;;;
2917;Logoff;2017-03-27T16:36:23.200;aduser01;OHMYAD;0x210af9;Network;;;
3329;Logon;2017-03-27T17:56:57.352;aduser02;OHMYAD;0x25ab5c;Network;;192.168.20.150;Kerberos
3330;Logon;2017-03-27T17:56:57.976;aduser02;OHMYAD;0x25ab74;Network;;192.168.20.150;Kerberos
3334;Logoff;2017-03-27T17:56:58.507;aduser02;OHMYAD;0x25ab74;Network;;;
3338;Logoff;2017-03-27T17:58:27.365;aduser02;OHMYAD;0x25ab5c;Network;;;
3431;Logon;2017-03-27T18:15:47.013;aduser01;OHMYAD;0x26b8fe;Network;;192.168.20.151;Kerberos
3432;Logon;2017-03-27T18:15:47.528;aduser01;OHMYAD;0x26b992;Network;;192.168.20.151;Kerberos
3433;Logon;2017-03-27T18:15:47.637;aduser01;OHMYAD;0x26b9a2;Network;;192.168.20.151;Kerberos
3435;Logoff;2017-03-27T18:15:47.652;aduser01;OHMYAD;0x26b9a2;Network;;;
3436;Logoff;2017-03-27T18:15:48.167;aduser01;OHMYAD;0x26b992;Network;;;
3444;Logoff;2017-03-27T18:16:17.027;aduser01;OHMYAD;0x26b8fe;Network;;;
3943;Logon;2017-03-27T19:52:58.521;aduser02;OHMYAD;0x2c5fef;Network;;192.168.20.150;Kerberos
3944;Logon;2017-03-27T19:52:59.145;aduser02;OHMYAD;0x2c6005;Network;;192.168.20.150;Kerberos
3946;Logon;2017-03-27T19:52:59.161;aduser02;OHMYAD;0x2c6025;Network;;192.168.20.150;Kerberos
3948;Logoff;2017-03-27T19:52:59.676;aduser02;OHMYAD;0x2c6005;Network;;;
3949;Logoff;2017-03-27T19:53:38.863;aduser02;OHMYAD;0x2c6025;Network;;;
3952;Logoff;2017-03-27T19:54:28.534;aduser02;OHMYAD;0x2c5fef;Network;;;
4057;Logon;2017-03-27T20:11:47.885;aduser01;OHMYAD;0x2d70c5;Network;;192.168.20.151;Kerberos
4058;Logon;2017-03-27T20:11:48.400;aduser01;OHMYAD;0x2d70e1;Network;;192.168.20.151;Kerberos
4059;Logon;2017-03-27T20:11:48.494;aduser01;OHMYAD;0x2d70f1;Network;;192.168.20.151;Kerberos
4060;Logon;2017-03-27T20:11:48.509;aduser01;OHMYAD;0x2d7100;Network;;192.168.20.151;Kerberos
4061;Logoff;2017-03-27T20:11:48.509;aduser01;OHMYAD;0x2d70f1;Network;;;
4062;Logoff;2017-03-27T20:11:49.024;aduser01;OHMYAD;0x2d70e1;Network;;;
4063;Logoff;2017-03-27T20:12:17.884;aduser01;OHMYAD;0x2d70c5;Network;;;
4064;Logoff;2017-03-27T20:12:23.609;aduser01;OHMYAD;0x2d7100;Network;;;
4569;Logon;2017-03-27T21:48:59.690;aduser02;OHMYAD;0x32f922;Network;;192.168.20.150;Kerberos
4570;Logon;2017-03-27T21:49:00.314;aduser02;OHMYAD;0x32f937;Network;;192.168.20.150;Kerberos
4571;Logon;2017-03-27T21:49:00.330;aduser02;OHMYAD;0x32f947;Network;;192.168.20.150;Kerberos
4573;Logoff;2017-03-27T21:49:00.330;aduser02;OHMYAD;0x32f947;Network;;;
4574;Logoff;2017-03-27T21:49:00.845;aduser02;OHMYAD;0x32f937;Network;;;
4579;Logoff;2017-03-27T21:50:29.703;aduser02;OHMYAD;0x32f922;Network;;;
4589;Logon;2017-03-27T21:51:49.559;aduser01;OHMYAD;0x332774;Network;;192.168.20.151;Kerberos
4590;Logon;2017-03-27T21:51:50.074;aduser01;OHMYAD;0x332788;Network;;192.168.20.151;Kerberos
4591;Logon;2017-03-27T21:51:50.277;aduser01;OHMYAD;0x332798;Network;;192.168.20.151;Kerberos
4592;Logon;2017-03-27T21:51:50.292;aduser01;OHMYAD;0x3327a9;Network;;192.168.20.151;Kerberos
4593;Logoff;2017-03-27T21:51:50.292;aduser01;OHMYAD;0x332798;Network;;;
4594;Logoff;2017-03-27T21:51:50.807;aduser01;OHMYAD;0x332788;Network;;;
4603;Logoff;2017-03-27T21:52:19.558;aduser01;OHMYAD;0x332774;Network;;;
4604;Logoff;2017-03-27T21:52:26.126;aduser01;OHMYAD;0x3327a9;Network;;;
5073;Logon;2017-03-27T23:22:50.489;aduser01;OHMYAD;0x3858d1;Network;;192.168.20.151;Kerberos
5074;Logon;2017-03-27T23:22:50.988;aduser01;OHMYAD;0x3858e6;Network;;192.168.20.151;Kerberos
5075;Logon;2017-03-27T23:22:51.207;aduser01;OHMYAD;0x3858f6;Network;;192.168.20.151;Kerberos
5077;Logoff;2017-03-27T23:22:51.222;aduser01;OHMYAD;0x3858f6;Network;;;
5078;Logoff;2017-03-27T23:22:51.737;aduser01;OHMYAD;0x3858e6;Network;;;
5079;Logoff;2017-03-27T23:23:25.449;aduser01;OHMYAD;0x3858d1;Network;;;
5195;Logon;2017-03-27T23:45:01.078;aduser02;OHMYAD;0x3a4b4f;Network;;192.168.20.150;Kerberos
5196;Logon;2017-03-27T23:45:01.483;aduser02;OHMYAD;0x3a4b64;Network;;192.168.20.150;Kerberos
5197;Logon;2017-03-27T23:45:01.593;aduser02;OHMYAD;0x3a4b74;Network;;192.168.20.150;Kerberos
5199;Logoff;2017-03-27T23:45:01.608;aduser02;OHMYAD;0x3a4b74;Network;;;
5200;Logoff;2017-03-27T23:45:02.123;aduser02;OHMYAD;0x3a4b64;Network;;;
5208;Logoff;2017-03-27T23:46:35.864;aduser02;OHMYAD;0x3a4b4f;Network;;;
5584;Logon;2017-03-28T01:01:50.683;aduser01;OHMYAD;0x3f30cc;Network;;192.168.20.151;Kerberos
5585;Logon;2017-03-28T01:01:51.229;aduser01;OHMYAD;0x3f30e2;Network;;192.168.20.151;Kerberos
5586;Logon;2017-03-28T01:01:51.432;aduser01;OHMYAD;0x3f30f4;Network;;192.168.20.151;Kerberos
5587;Logon;2017-03-28T01:01:51.448;aduser01;OHMYAD;0x3f3105;Network;;192.168.20.151;Kerberos
5588;Logoff;2017-03-28T01:01:51.448;aduser01;OHMYAD;0x3f30f4;Network;;;
5589;Logoff;2017-03-28T01:01:51.962;aduser01;OHMYAD;0x3f30e2;Network;;;
5590;Logoff;2017-03-28T01:02:25.674;aduser01;OHMYAD;0x3f30cc;Network;;;
5591;Logoff;2017-03-28T01:02:29.683;aduser01;OHMYAD;0x3f3105;Network;;;
5740;Logon;2017-03-28T01:30:02.132;aduser02;OHMYAD;0x40ce7b;Network;;192.168.20.150;Kerberos
5741;Logon;2017-03-28T01:30:02.756;aduser02;OHMYAD;0x40ce9a;Network;;192.168.20.150;Kerberos
5743;Logon;2017-03-28T01:30:02.771;aduser02;OHMYAD;0x40cebb;Network;;192.168.20.150;Kerberos
5745;Logoff;2017-03-28T01:30:03.286;aduser02;OHMYAD;0x40ce9a;Network;;;
5756;Logoff;2017-03-28T01:30:38.870;aduser02;OHMYAD;0x40cebb;Network;;;
5761;Logoff;2017-03-28T01:31:32.144;aduser02;OHMYAD;0x40ce7b;Network;;;
6154;Logon;2017-03-28T02:48:49.814;aduser01;OHMYAD;0x45de3a;Network;;192.168.20.151;Kerberos
6155;Logon;2017-03-28T02:48:50.328;aduser01;OHMYAD;0x45de4d;Network;;192.168.20.151;Kerberos
6158;Logon;2017-03-28T02:48:50.531;aduser01;OHMYAD;0x45de95;Network;;192.168.20.151;Kerberos
6160;Logoff;2017-03-28T02:48:50.547;aduser01;OHMYAD;0x45de95;Network;;;
6161;Logoff;2017-03-28T02:48:50.828;aduser01;OHMYAD;0x45de4d;Network;;;
6162;Logoff;2017-03-28T02:49:19.812;aduser01;OHMYAD;0x45de3a;Network;;;
6240;Logon;2017-03-28T03:05:03.131;aduser02;OHMYAD;0x46d2a5;Network;;192.168.20.150;Kerberos
6259;Logoff;2017-03-28T03:06:38.025;aduser02;OHMYAD;0x46d2a5;Network;;;
6264;Logon;2017-03-28T03:06:59.195;aduser01;OHMYAD;0x46f325;Network;;192.168.20.151;Kerberos
6265;Logon;2017-03-28T03:07:03.298;aduser02;OHMYAD;0x46f358;Network;;192.168.20.150;Kerberos
6266;Logon;2017-03-28T03:07:03.922;aduser02;OHMYAD;0x46f36f;Network;;192.168.20.150;Kerberos
